date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
2002-12-23,-11.14924073,0.0,-22.19929385,35.84656429,178.6901042,135.2655379,1.994115621,57260.8284,-9.084627271,0,0.92,0.001,0.17
2002-12-24,-10.36644959,0.0,-22.517082,32.39155674,168.8450521,161.459195,1.368122652,56930.23758,-6.511014938,0,0.92,0.001,0.17
2002-12-25,-8.75202775,0.0,-18.90924895,39.29835415,167.3372396,151.2714129,2.710052341,56791.01944,-7.166742325,0,0.92,0.001,0.17
2002-12-26,-10.05338883,0.0,-19.67400543,41.64502287,176.8164063,150.5420838,2.660376176,56845.38879,-8.491228223,0,0.92,0.001,0.17
2002-12-27,-9.764951825,0.0,-17.39142485,48.69676018,164.6979167,150.1325271,2.556312025,56698.70071,-7.657579422,0,0.92,0.001,0.17
2002-12-28,-10.59395039,0.0,-20.4716404,40.56506777,177.9752604,134.7860971,2.15260075,56695.50552,-9.451086164,0,0.92,0.001,0.17
2002-12-29,-11.52253926,0.0,-22.450267,35.27716732,175.5520833,128.0888292,2.297241062,56807.4234,-9.498651624,0,0.92,0.001,0.17
2002-12-30,-10.53969789,0.0,-23.16202188,31.88418961,181.6015625,127.7494004,2.146715134,56824.54987,-9.320985913,0,0.92,0.001,0.17
2002-12-31,-7.829645365,0.0,-24.38018725,22.0106833,179.9088542,153.4483229,4.37371093,56676.00403,-7.38882637,0,0.92,0.001,0.17
2003-01-01,-10.63258183,0.0,-15.7148554,62.41115856,146.6354167,156.7033627,2.929451384,56895.09583,-8.382227063,0,0.92,0.001,0.17
2003-01-02,-13.39265251,0.0,-20.7173544,50.70102978,181.7916667,124.321504,1.445518836,57753.33405,-11.25510228,0,0.92,0.001,0.17
2003-01-03,-10.98991978,0.0,-17.39518835,55.86893272,181.2044271,138.7785906,1.450917765,57405.51376,-7.549555063,0,0.92,0.001,0.17
2003-01-04,-7.751184702,0.0,-20.25191488,36.24711943,177.6822917,155.5037417,2.986158326,56883.07114,-6.425905347,0,0.92,0.001,0.17
2003-01-05,-12.32042885,0.0,-19.94225125,48.42327499,178.7877604,129.6506546,3.119396806,57416.14761,-10.16351137,0,0.92,0.001,0.17
2003-01-06,-10.70617878,0.0,-20.87073335,40.7945652,182.2265625,137.4398588,1.766719833,57389.97421,-8.827253461,0,0.92,0.001,0.17
2003-01-07,-6.160272956,0.0,-19.5862955,29.71114588,183.6601563,134.8187469,3.134891182,56907.36542,-5.823396802,0,0.92,0.001,0.17
2003-01-08,-8.858843088,0.0,-21.59639388,29.96535635,184.4088542,127.4373008,3.92037046,56897.2702,-8.115800977,0,0.92,0.001,0.17
2003-01-09,-11.628111,0.0,-21.16814905,41.61584854,185.9023438,126.6419585,1.409075931,57289.28986,-9.895788312,0,0.92,0.001,0.17
2003-01-10,-11.01558518,0.0,-22.6815955,33.97984266,186.7005208,127.3088188,2.598829746,57047.07718,-9.106542706,0,0.92,0.001,0.17
2003-01-11,-11.95384037,0.0,-23.74021205,33.43525887,186.859375,127.5329489,2.077525064,57178.56827,-10.47682774,0,0.92,0.001,0.17
2003-01-12,-13.43806279,0.0,-24.14338975,36.09091759,186.3606771,131.1438106,2.483804494,57095.07141,-10.35009587,0,0.92,0.001,0.17
2003-01-13,-12.47780812,0.0,-23.914326,33.41267347,187.3398438,128.8253048,3.127063453,57008.14972,-11.06420338,0,0.92,0.001,0.17
2003-01-14,-13.80299568,0.0,-24.89478945,35.09098434,190.3307292,117.7357945,2.832213759,57482.23419,-12.54823503,0,0.92,0.001,0.17
2003-01-15,-12.81352818,0.0,-23.60186013,35.8998127,190.1757813,130.1264242,1.10499157,57632.04041,-11.3462621,0,0.92,0.001,0.17
2003-01-16,-10.88583589,0.0,-21.9449195,36.00421524,190.0572917,140.804185,1.730741471,57584.52606,-8.767049789,0,0.92,0.001,0.17
2003-01-17,-8.776598185,0.0,-19.662823,37.92126656,189.4179688,155.4770317,2.080255002,57794.61746,-6.355608106,0,0.92,0.001,0.17
2003-01-18,-6.126367761,0.0,-17.75699005,37.00945473,188.6601563,166.6052479,1.634648025,57951.00632,-4.661974072,0,0.92,0.001,0.17
2003-01-19,-5.318067767,0.0,-18.93990108,31.14328575,188.8554688,154.2560417,2.497187186,57753.4874,-4.429201245,0,0.92,0.001,0.17
2003-01-20,-8.454290599,0.0,-23.9501395,26.53047967,194.7109375,140.6921658,1.945174605,57385.61172,-5.736944318,0,0.92,0.001,0.17
2003-01-21,-9.059915751,0.0,-24.84385575,23.62528396,196.8945313,136.9624085,2.162331402,57265.0177,-7.035768509,0,0.92,0.001,0.17
2003-01-22,-9.357755899,0.0,-24.2056605,25.28939724,195.4973958,154.4533417,1.090117261,56985.23865,-6.550008774,0,0.92,0.001,0.17
2003-01-23,-8.745550394,0.0,-22.92084813,26.17851639,180.7916667,161.4281175,3.63808918,56479.91791,-6.502088547,0,0.92,0.001,0.17
2003-01-24,-7.804662943,0.0,-20.396716,31.48506689,196.3151042,142.5655446,4.300464213,56389.80942,-9.427908063,0,0.92,0.001,0.17
2003-01-25,-6.005739421,0.0,-21.13220975,25.59994793,202.5338542,137.5878588,6.051951587,56596.42105,-7.132665634,0,0.92,0.001,0.17
