date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
2000/1/9 00:00,-34.32526564,0.0,-37.43317965,0.732245548,0.0,152.4608943,1.276298934,103705.6399,,0,0.92,0.001,0.17
2000/1/9 03:00,-36.27299217,0.0,-39.14808656,0.745641742,0.021541667,152.3623484,2.248873666,103494.1688,,0,0.92,0.001,0.17
2000/1/9 06:00,-35.42622298,0.0,-38.40243857,0.739731707,0.0,152.8194218,1.438426295,103443.2643,,0,0.92,0.001,0.17
2000/1/9 09:00,-34.64949325,0.0,-37.67937876,0.73737316,0.0,152.5936823,1.023844679,103380.0193,,0,0.92,0.001,0.17
2000/1/9 12:00,-34.05927309,0.0,-37.13370516,0.735331845,0.0,152.4741731,1.254687388,103306.1167,,0,0.92,0.001,0.17
2000/1/9 15:00,-35.47816235,0.0,-38.51308501,0.735165201,0.021541667,151.5788994,1.759248769,103149.0559,,0,0.92,0.001,0.17
2000/1/9 18:00,-35.62138911,0.0,-38.58217647,0.740480052,0.0,151.8367909,1.751205905,103054.8195,,0,0.92,0.001,0.17
2000/1/9 21:00,-35.43645346,0.0,-38.3653373,0.743316156,0.0,151.6774453,1.637055856,102950.6266,,0,0.92,0.001,0.17
2000/1/10 00:00,-35.33421537,0.0,-38.24737943,0.744737514,0.0,151.3822692,1.64036478,102864.5236,,0,0.92,0.001,0.17
2000/1/10 03:00,-37.26468205,0.0,-40.07477846,0.748562261,0.030171875,152.3966946,2.824704869,102683.6233,,0,0.92,0.001,0.17
2000/1/10 06:00,-37.18126197,0.0,-40.01189895,0.74713671,0.0,155.3695666,2.766827032,102616.1714,,0,0.92,0.001,0.17
2000/1/10 09:00,-35.35625086,0.0,-38.3015081,0.742240601,0.0,158.3765983,2.15886978,102530.2087,,0,0.92,0.001,0.17
2000/1/10 12:00,-35.57581882,0.0,-38.47649899,0.745173578,0.0,160.3901173,2.393252519,102440.3195,,0,0.92,0.001,0.17
2000/1/10 15:00,-36.06138667,0.0,-38.92628064,0.746883599,0.030171875,163.471049,3.198599896,102329.2551,,0,0.92,0.001,0.17
2000/1/10 18:00,-35.8032566,0.0,-38.60233339,0.752520886,0.0,164.4171552,3.624000477,102257.4559,,0,0.92,0.001,0.17
2000/1/10 21:00,-35.81584831,0.0,-38.61791737,0.752262558,0.0,165.0530034,3.31710625,102168.1276,,0,0.92,0.001,0.17
2000/1/11 00:00,-35.62266769,0.0,-38.48227121,0.748228236,0.0,164.4904454,2.960628317,102095.487,,0,0.92,0.001,0.17
2000/1/11 03:00,-35.44645366,0.0,-38.47643005,0.73560967,0.02503125,164.4587114,3.451427474,102090.1582,,0,0.92,0.001,0.17
2000/1/11 06:00,-35.72870799,0.0,-38.69490794,0.739832786,0.0,165.5651527,3.542457704,102067.0198,,0,0.92,0.001,0.17
2000/1/11 09:00,-36.24955301,0.0,-39.1832814,0.741178533,0.0,164.673932,3.543574416,102043.3204,,0,0.92,0.001,0.17
2000/1/11 12:00,-36.76494007,0.0,-39.66234962,0.742852223,0.0,163.3239949,3.616093869,102077.1165,,0,0.92,0.001,0.17
2000/1/11 15:00,-36.49750019,0.0,-39.59612702,0.728052792,0.02503125,166.332896,3.582950235,102098.4319,,0,0.92,0.001,0.17
2000/1/11 18:00,-36.72517496,0.0,-39.76645151,0.731894603,0.0,165.945232,3.698275989,102047.247,,0,0.92,0.001,0.17
2000/1/11 21:00,-36.93725556,0.0,-39.91646491,0.73616932,0.0,165.1064361,3.497925216,102024.389,,0,0.92,0.001,0.17
2000/1/12 00:00,-36.8556937,0.0,-39.89548625,0.731713475,0.0,167.3089586,3.533231698,101979.795,,0,0.92,0.001,0.17
2000/1/12 03:00,-36.7429118,0.0,-39.91762476,0.72174289,0.030760417,163.9552309,3.772141926,101893.4116,,0,0.92,0.001,0.17
2000/1/12 06:00,-37.26715318,0.0,-40.42755407,0.721603667,0.0,162.4998443,3.53860965,101735.3693,,0,0.92,0.001,0.17
2000/1/12 09:00,-37.65683409,0.0,-40.81905331,0.72055576,0.0,162.0215184,3.471786437,101633.2798,,0,0.92,0.001,0.17
2000/1/12 12:00,-37.66772338,0.0,-40.84943522,0.71905285,0.0,163.5469901,3.199426392,101499.9184,,0,0.92,0.001,0.17
2000/1/12 15:00,-37.92828846,0.0,-41.10457387,0.718850909,0.030760417,163.1149287,3.37012738,101225.4829,,0,0.92,0.001,0.17
2000/1/12 18:00,-37.94151117,0.0,-41.12611057,0.718188957,0.0,163.0169533,3.177593696,101029.9984,,0,0.92,0.001,0.17
2000/1/12 21:00,-37.81550656,0.0,-40.94028207,0.723032449,0.0,163.6762674,3.229401951,100857.9327,,0,0.92,0.001,0.17
2000/1/13 00:00,-38.04412035,0.0,-41.19213404,0.720728097,0.0,163.5781444,3.189752094,100655.1561,,0,0.92,0.001,0.17
2000/1/13 03:00,-39.3082245,0.0,-42.47683665,0.716161628,0.034197917,158.2107411,3.522925232,100540.4457,,0,0.92,0.001,0.17
2000/1/13 06:00,-39.27623174,0.0,-42.44752889,0.716032318,0.0,159.8894003,3.593895613,100429.6618,,0,0.92,0.001,0.17
2000/1/13 09:00,-39.36440691,0.0,-42.52983397,0.716271601,0.0,158.5719916,3.791049781,100383.1045,,0,0.92,0.001,0.17
2000/1/13 12:00,-39.59693964,0.0,-42.76365633,0.715616002,0.0,157.0306235,4.016974741,100286.6244,,0,0.92,0.001,0.17
2000/1/13 15:00,-39.6773117,0.0,-42.85286417,0.71474437,0.034197917,154.6405637,4.533014034,100309.7628,,0,0.92,0.001,0.17
2000/1/13 18:00,-39.45336238,0.0,-42.62222498,0.715795218,0.0,155.0808588,4.452899174,100252.1271,,0,0.92,0.001,0.17
2000/1/13 21:00,-39.35426286,0.0,-42.47975417,0.719365169,0.0,154.2640654,4.666235384,100253.6697,,0,0.92,0.001,0.17
2000/1/14 00:00,-39.39519853,0.0,-42.44796007,0.724890121,0.0,152.4870997,4.817831153,100236.2808,,0,0.92,0.001,0.17
2000/1/14 03:00,-39.08533244,0.0,-42.2126695,0.719859404,0.05896875,150.3142422,4.797829064,100211.5998,,0,0.92,0.001,0.17
2000/1/14 06:00,-38.08670071,0.0,-41.17214699,0.725409043,0.0,151.3767332,4.913139862,100156.6286,,0,0.92,0.001,0.17
2000/1/14 09:00,-35.90430206,0.0,-39.04238477,0.726429111,0.0,158.3064905,5.455119354,100117.0829,,0,0.92,0.001,0.17
2000/1/14 12:00,-33.51088068,0.0,-36.74237687,0.724939134,0.0,171.8449352,5.791489318,100095.3468,,0,0.92,0.001,0.17
2000/1/14 15:00,-31.32612862,0.0,-34.69932657,0.719655594,0.05896875,179.1703937,6.636093274,99983.44109,,0,0.92,0.001,0.17
2000/1/14 18:00,-30.71110327,0.0,-34.07631654,0.721618732,0.0,179.8181694,6.774749106,99985.54458,,0,0.92,0.001,0.17
2000/1/14 21:00,-30.90643657,0.0,-34.24352548,0.723181927,0.0,172.8616563,7.034655137,100015.9751,,0,0.92,0.001,0.17
2000/1/15 00:00,-31.72005773,0.0,-34.98237983,0.726725838,0.0,164.120737,7.1133212,100091.7008,,0,0.92,0.001,0.17
2000/1/15 03:00,-33.45021668,0.0,-36.78848126,0.717291243,0.076850159,153.1793027,7.152763737,100201.0824,,0,0.92,0.001,0.17
2000/1/15 06:00,-34.65807809,0.0,-37.9288452,0.719427075,0.0,149.8397442,6.913282167,100294.0567,,0,0.92,0.001,0.17
2000/1/15 09:00,-35.52470512,0.0,-38.78345908,0.718300514,0.0,148.321633,6.4977086,100366.5571,,0,0.92,0.001,0.17
2000/1/15 12:00,-36.01140904,0.0,-39.25149253,0.718551499,0.0,147.3812102,6.425896841,100425.3146,,0,0.92,0.001,0.17
