date,QE,QH,RTS0,Lstar
2000-04-04,-129.639558386978,-8.58592206559479,0.5895058977026792,-10000
2000-04-05,-115.567233157966,-17.7620769489872,1.3140375261558574,-10000
2000-04-06,-122.838709155021,-10.7463015137678,-0.5747052526692187,-10000
2000-04-07,-146.709677698378,-1.15248707580023,1.126778637357404,-10000
2000-04-08,-125.023362290084,-18.7698335856703,2.715595844310428,-10000
2000-04-09,-106.351733982612,-44.2936409219496,8.384088427465826,-10000
2000-04-10,-102.311985329620,-43.4460404304059,2.0394823693039825,-10000
2000-04-11,-95.8946831095867,-34.5427554749085,3.191346994071921,-10000
2000-04-12,-134.252507412880,-11.3134266862212,1.975326747341228,-10000
2000-04-13,-119.482824457999,-20.7484122641076,2.542621006798811,-10000
2000-04-14,-127.375677724448,-13.4694324105731,3.155199143926666,-10000
2000-04-15,-125.080282218965,-29.5368469460843,7.936150552453057,-10000
2000-04-16,-102.187585920827,-45.8340293607200,6.059373300979303,-10000
2000-04-17,-102.767606283207,-40.7498359343545,5.972610938732203,-10000
2000-04-18,-117.270095948749,-22.4238533244584,4.513907477802604,-10000
2000-04-19,-132.243536975891,-18.4258901403091,2.548475641363382,-10000
2000-04-20,-146.425184027964,-31.7108223712421,7.186223955917285,-10000
2000-04-21,-113.657385889616,-35.4060362952557,7.674964399630028,-10000
2000-04-22,-83.5789647071384,-31.6555839335624,9.681114758214107,-10000
2000-04-23,-88.6601614340556,-33.5266930127436,15.192007646686534,-10000
2000-04-24,-116.827972712831,-47.8987441798868,10.887784017029901,-10000
2000-04-25,-114.784693613926,-58.3744990556406,5.578462478615506,-10000
2000-04-26,-103.195935139301,-40.7649070513723,7.488949963023572,-10000
2000-04-27,-108.782695590550,-45.8854860953868,8.243970932132356,-10000
2000-04-28,-91.3092444553835,-35.3063853295121,15.399285070465055,-10000
2000-04-29,-120.838145410096,-43.9963577538381,8.138679454949056,-10000
2000-04-30,-123.258333621468,-39.2618302783428,6.4453876763021185,-10000
2000-05-01,-105.266174526566,-42.9542703687141,8.373639168084878,-10000
2000-05-02,-96.6133909211802,-41.6883299466786,9.185935209894637,-10000
2000-05-03,-99.0624351038520,-36.1109363907285,11.76518434749255,-10000
2000-05-04,-79.4420079890961,-23.5577754821734,20.76188461424232,-10000
2000-05-05,-133.956423798152,-24.6096417018243,10.178249199243794,-10000
2000-05-06,-150.570691916458,-17.0043311345271,9.463689048754134,-10000
2000-05-07,-147.096442424428,-27.6325853092821,7.042531428663835,-10000
2000-05-08,-114.007559480707,-32.0824924796029,7.365688455374141,-10000
2000-05-09,-94.5864481229449,-29.7044135847573,16.795972256919242,-10000
2000-05-10,-140.343442861337,-28.5806255374337,9.980911497274349,-10000
2000-05-11,-122.195705930926,-33.0786187118524,12.254048949329501,-10000
2000-05-12,-135.325115983401,-28.6743612157043,12.196318381103993,-10000
2000-05-13,-140.258479295263,-24.6464274447465,13.05854687107933,-10000
2000-05-14,-173.956217908302,-21.9683658155159,13.055233918023873,-10000
2000-05-15,-117.749910345831,-37.9086796816071,14.070916294365361,-10000
2000-05-16,-98.4922496678145,-37.7013370893803,13.598518462599088,-10000
2000-05-17,-101.132938921594,-35.8526690762285,9.691015327054231,-10000
2000-05-18,-122.486207466020,-41.5925861319924,11.855644020876639,-10000
2000-05-19,-110.025261613933,-29.9231533523529,16.314258297582455,-10000
2000-05-20,-145.384753388637,-34.5192534690416,13.044333548170641,-10000
2000-05-21,-121.880609437327,-29.5423035452282,7.515948463484904,-10000
2000-05-22,-112.440194570278,-41.0010279236791,14.684888367392261,-10000
2000-05-23,-96.7825645684187,-28.1616086305178,10.833229155177207,-10000
2000-05-24,-135.948250780833,-41.6614936326532,11.442589640617939,-10000
2000-05-25,-117.382276940446,-42.5806438157076,13.109871737862477,-10000
2000-05-26,-88.7244262559581,-36.3303105434168,13.751170386434524,-10000
2000-05-27,-113.854153271840,-40.0632403081470,13.176271690963972,-10000
2000-05-28,-136.630894986453,-40.2721159414887,10.887710789749178,-10000
2000-05-29,-131.143898199045,-38.3724646245712,10.38909850098662,-10000
2000-05-30,-147.665173422996,-35.5281801208896,12.207882303306633,-10000
2000-05-31,-98.4717451334988,-35.8195106554963,13.140267949174813,-10000
2000-06-01,-131.838885144325,-36.2422480458720,14.344081577868678,-10000
2000-06-02,-140.049400041071,-33.5153554827239,12.687650783396919,-10000
2000-06-03,-142.316127899453,-32.5038378961826,15.44521786257377,-10000
2000-06-04,-108.380887992190,-25.3446169632483,19.720276881061466,-10000
2000-06-05,-141.793286853553,-28.1950494947785,15.267225287727115,-10000
2000-06-06,-122.182311394805,-26.3473699987244,13.828444201312266,-10000
2000-06-07,-123.882318310943,-36.1575396406704,16.986959744558533,-10000
2000-06-08,-151.000768075377,-27.6443130073369,17.07379310104227,-10000
2000-06-09,-158.561469565019,-28.9144834512026,16.31272071051984,-10000
2000-06-10,-112.547054168657,-30.1671028587361,18.198732145892905,-10000
2000-06-11,-133.652653981791,-29.6872534392273,16.230219451348262,-10000
2000-06-12,-136.327091765489,-23.5841065158695,15.607384601563524,-10000
2000-06-13,-138.854845775649,-32.1640739760194,12.490553674033663,-10000
2000-06-14,-117.278489580502,-28.5558778320491,20.965659995880742,-10000
2000-06-15,-138.510707132545,-27.9900041374977,18.566228263814253,-10000
2000-06-16,-138.717341301411,-31.2523228854225,22.862127804304805,-10000
2000-06-17,-147.037885726166,-21.7652903048670,15.872963854931129,-10000
2000-06-18,-163.463460498675,-32.4792020409691,17.351533507683143,-10000
2000-06-19,-76.3804147514368,-13.9408754722558,11.805516747571687,-10000
2000-06-20,-137.711487688465,-36.8497304743627,19.694030304225578,-10000
2000-06-21,-58.1123107526090,-20.6093098007434,12.220107946597068,-10000
2000-06-22,-92.4993978163933,-26.2847551692491,14.214315048520461,-10000
2000-06-23,-81.6138750519736,-22.2073349090488,11.76391374672346,-10000
2000-06-24,-84.6654025214621,-26.0641373537834,16.334716886753995,-10000
2000-06-25,-111.446479224514,-34.9384203710636,15.904166013151212,-10000
2000-06-26,-139.520602234337,-39.1192839417756,17.833369141026708,-10000
2000-06-27,-104.554900503178,-28.4451457584170,19.03755735659132,-10000
2000-06-28,-136.766998768658,-29.1804677663025,19.051444182379896,-10000
2000-06-29,-132.070059790769,-32.8071936460781,23.1920368563882,-10000
2000-06-30,-104.538873486527,-29.7850307232418,15.406998659352496,-10000
2000-07-01,-119.739944037437,-35.6872106780003,18.102098668269775,-10000
