satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo,date
-33.37547719,0.0,-36.34336453,0.744960407,51.38665058,172.577944,3.618947626,101234.931,,0,0.92,0.001,0.17,2000/3/8
-32.76619767,0.0,-35.62996934,0.754559453,63.29996625,162.3553879,1.662354882,101400.1954,,0,0.92,0.001,0.17,2000/3/9
-26.48908486,0.0,-29.42467042,0.761190387,41.94177564,206.1011021,3.769069125,101382.0177,,0,0.92,0.001,0.17,2000/3/10
-27.44262183,0.0,-29.98252247,0.790837722,47.24151434,175.5400422,0.788601664,101361.9118,,0,0.92,0.001,0.17,2000/3/11
-31.23440015,0.0,-33.6581407,0.792448432,73.73938007,153.1566837,0.845412206,101840.7367,,0,0.92,0.001,0.17,2000/3/12
-32.04073293,0.0,-34.5180746,0.785924926,77.11771553,159.4217926,1.071657045,102381.5794,,0,0.92,0.001,0.17,2000/3/13
-28.86129147,0.0,-31.38548078,0.787307397,58.86219416,187.9286372,2.752357123,102371.7281,,0,0.92,0.001,0.17,2000/3/14
-25.23979972,0.0,-27.9151193,0.78258836,47.83062598,186.9550887,5.318062893,101946.1567,,0,0.92,0.001,0.17,2000/3/15
-25.66528141,0.0,-28.32083084,0.78337167,82.03249345,176.6288572,5.271428954,102313.6191,,0,0.92,0.001,0.17,2000/3/16
-22.83462608,0.0,-25.68209051,0.774400055,77.69001704,181.3463032,8.043678456,102369.6246,,0,0.92,0.001,0.17,2000/3/17
-22.29136071,0.0,-25.54728235,0.747151583,90.74663005,179.7378016,7.062183323,102329.6232,,0,0.92,0.001,0.17,2000/3/18
-24.92666994,0.0,-27.77846995,0.771118434,95.3364844,175.5613129,4.516837703,102146.7772,,0,0.92,0.001,0.17,2000/3/19
-26.7413574,0.0,-29.23123433,0.794015087,95.92867618,175.4778553,3.855941178,101749.375,,0,0.92,0.001,0.17,2000/3/20
-28.48331277,0.0,-30.88323813,0.798203677,98.56317272,173.9645219,2.542924308,101501.9343,,0,0.92,0.001,0.17,2000/3/21
-27.79898553,0.0,-30.07198814,0.809839912,100.5219165,168.2222307,0.832674808,101346.5914,,0,0.92,0.001,0.17,2000/3/22
-30.29805083,0.0,-32.88830619,0.780850346,100.0502812,168.2843078,1.467901061,101133.7005,,0,0.92,0.001,0.17,2000/3/23
-31.03182338,0.0,-33.60117968,0.780505925,105.4376205,166.9758297,2.29630141,101146.7597,,0,0.92,0.001,0.17,2000/3/24
-31.51252047,0.0,-34.07199725,0.780091019,111.6156083,165.0997696,2.667513175,100843.9445,,0,0.92,0.001,0.17,2000/3/25
-30.9808697,0.0,-33.37282295,0.794606822,117.6419527,163.5016779,2.553261622,100608.5463,,0,0.92,0.001,0.17,2000/3/26
-27.20595934,0.0,-29.56571721,0.802777008,124.7375391,172.7459253,3.746133382,100284.6786,,0,0.92,0.001,0.17,2000/3/27
-18.27883064,0.0,-21.29100132,0.771448822,116.8365845,200.555111,6.197115904,98984.49286,,0,0.92,0.001,0.17,2000/3/28
-14.02643395,0.0,-16.4883967,0.815621962,55.32136217,244.4085638,4.576345196,98418.26793,,0,0.92,0.001,0.17,2000/3/29
-16.75844627,0.0,-19.31056332,0.805497299,110.5663285,213.2564595,4.395101296,99115.03205,,0,0.92,0.001,0.17,2000/3/30
-18.50820669,0.0,-20.93853399,0.81113792,85.46028411,210.3642859,2.346805435,99629.19555,,0,0.92,0.001,0.17,2000/3/31
-21.38857522,0.0,-23.7462605,0.81208663,116.2597603,192.3303528,2.4541805,100080.2368,,0,0.92,0.001,0.17,2000/4/1
-22.55569231,0.0,-24.76598084,0.821400291,140.9328485,181.5001454,2.996884234,100544.5125,,0,0.92,0.001,0.17,2000/4/2
-23.11897146,0.0,-25.41411726,0.813860314,149.8572098,176.4881178,3.730675281,100299.0876,,0,0.92,0.001,0.17,2000/4/3
-19.04833346,0.0,-21.41458157,0.815801816,125.4376871,198.3133476,4.118315237,99665.09514,,0,0.92,0.001,0.17,2000/4/4
-19.77569515,0.0,-22.13043399,0.814604904,112.8212131,210.0657088,2.270322248,99983.91437,,0,0.92,0.001,0.17,2000/4/5
-19.94202781,0.0,-22.25951533,0.816934355,115.4902951,213.2110517,3.159387085,100949.8729,,0,0.92,0.001,0.17,2000/4/6
-21.87804404,0.0,-24.22404447,0.812021947,106.7822661,214.4811102,3.399374553,101305.8713,,0,0.92,0.001,0.17,2000/4/7
-24.05832578,0.0,-26.34665362,0.813369286,130.3104998,196.7375595,1.781769942,100720.7851,,0,0.92,0.001,0.17,2000/4/8
-24.5522334,0.0,-26.82435825,0.813693562,143.0436484,190.5066297,2.726701704,99896.91747,,0,0.92,0.001,0.17,2000/4/9
-20.87146352,0.0,-23.31379174,0.806829447,172.5288323,185.9697404,3.353420828,99608.24828,,0,0.92,0.001,0.17,2000/4/10
-17.7810926,0.0,-20.143441,0.817614544,171.5103673,196.9222035,3.29694375,99503.51192,,0,0.92,0.001,0.17,2000/4/11
-14.67662649,0.0,-16.79169721,0.839080541,112.26308,222.7387462,3.350243947,99355.82927,,0,0.92,0.001,0.17,2000/4/12
-10.5538328,0.0,-13.00230883,0.822443157,176.382995,215.8119886,4.378497452,99988.87511,,0,0.92,0.001,0.17,2000/4/13
-13.693355,0.0,-15.61712863,0.85410167,181.6876638,210.9602077,2.077366218,100966.2801,,0,0.92,0.001,0.17,2000/4/14
-18.07218629,0.0,-20.1230137,0.839213584,151.9161601,206.8916242,2.359620399,101825.0131,,0,0.92,0.001,0.17,2000/4/15
-16.00200974,0.0,-17.80037254,0.860020449,186.3188035,202.8528205,2.865544072,101402.8773,,0,0.92,0.001,0.17,2000/4/16
-15.22678039,0.0,-17.04453719,0.859172714,175.5947218,221.6902472,2.783541057,101430.7837,,0,0.92,0.001,0.17,2000/4/17
-15.64732165,0.0,-17.52958956,0.854068687,183.3119421,213.5621436,3.957827341,100339.8602,,0,0.92,0.001,0.17,2000/4/18
-12.64730324,0.0,-14.49313917,0.86019455,201.8351635,209.2485639,1.989003019,99866.08378,,0,0.92,0.001,0.17,2000/4/19
-11.99459443,0.0,-13.64635142,0.874660085,158.5042858,249.3712595,3.12226404,99932.62423,,0,0.92,0.001,0.17,2000/4/20
-11.42891571,0.0,-13.17464604,0.868736993,116.6391539,254.4400383,2.094414079,100332.5156,,0,0.92,0.001,0.17,2000/4/21
