QE,QH,RTS0,Lstar,snd
5.672954955,-7.292035578,-13.13372963,234.215667,0.098954487
4.80212356,-6.234531024,-14.00143685,346.1318237,0.098967586
4.918792173,-3.090357429,-14.52400369,692.1138675,0.098903885
4.79200772,-1.518892076,-15.05224464,687.6428609,0.098975455
4.271898375,-1.982068144,-15.76595041,582.9314893,0.099094862
3.513990449,-2.664490006,-15.90819155,280.8387849,0.099087286
3.484651056,-1.069511165,-15.77336766,-5435.754417,0.099042052
3.899547642,0.661219532,-16.04805272,-395.3507726,0.099120999
4.287943849,1.365544086,-16.12348186,-385.6831508,0.099283378
5.2805648,1.576315019,-15.64514044,-358.9932152,0.099719603
5.747400673,3.168462294,-14.98850611,-64.8195031,0.101080806
4.774119196,3.938021003,-14.64544163,-24.99171102,0.102960625
3.950788165,3.379446383,-14.76616188,-37.23386218,0.104205564
5.064942292,3.590594078,-15.8361495,-322.2184112,0.104632329
5.371560338,2.583801596,-17.56152079,-275.2047419,0.104702721
4.503747234,3.676333815,-19.40782828,-142.5968808,0.10466185
3.776903451,5.289044115,-21.46891671,-62.47175667,0.104611648
3.025167502,4.646815905,-22.54474093,-38.7887502,0.104571077
2.704136367,6.237915868,-22.62283938,-9.280702597,0.104534577
2.466843369,7.606536239,-23.21761048,-10.97109233,0.10450128
2.019872675,7.375964431,-23.92667104,-3.768668889,0.104474016
1.829593768,8.213880511,-24.27245653,-4.828742149,0.104449321
2.222882587,13.00349367,-25.21320651,-7.252471038,0.104419317
2.4162,16.86512283,-26.18587548,-9.553573702,0.104386703
2.200544614,15.15539423,-26.29443455,-10.86547351,0.104357001
1.785234755,8.135270403,-25.22530319,-18.4710803,0.104332904
2.004453722,7.383782117,-23.59648571,-7.677331219,0.104305849
2.236519795,8.971472037,-23.14529252,-14.58830073,0.104275661
2.269009524,8.095642119,-22.67019179,-10.48267753,0.104245034
2.326281786,7.004462396,-21.12649778,-7.993506132,0.104213634
2.890466563,8.211547177,-19.42087626,-6.901329213,0.104174619
3.005707778,8.199866481,-18.78076582,-6.863403366,0.104244569
3.124699508,7.840977976,-18.21977987,-7.753070261,0.104385323
3.656698676,6.875340261,-17.64277972,-42.50891262,0.104577729
4.31840308,5.631546149,-16.97922099,-36.89391536,0.105018245
4.651577096,5.814656381,-16.43042709,-26.30538214,0.105907717
4.646992004,5.398711279,-16.21281175,-28.36164514,0.107159249
4.42476619,2.866991293,-15.72236889,-202.2957081,0.108187453
4.818234104,2.024649798,-15.10938191,-105.4513909,0.108889401
5.047734816,2.093689474,-15.18672232,-123.0139174,0.109450714
4.275462624,0.692809648,-15.6454677,-15578.07506,0.109771942
3.299882442,0.084078062,-16.20641282,-456.036248,0.109846694
2.706849093,0.2737103,-16.72342796,-127.7541163,0.109809336
2.790126741,1.431971865,-16.81136695,-39.29467015,0.109951675
2.820469982,2.161977669,-16.96676095,-30.00195074,0.110250645
2.752466681,3.447009124,-17.16808585,-8.984757968,0.110529397
3.099394045,4.84816727,-17.29097518,-17.87345093,0.110854888
3.459481469,4.527702546,-17.85412703,-42.98762189,0.111090316
3.129666989,2.367465745,-19.46210447,-1223.425387,0.111131893
2.508136282,-0.115011846,-21.62792507,-3223.002319,0.111106501
2.312522536,0.294034856,-23.58931865,-556.9538195,0.111074159
2.144146357,1.389827123,-25.37299027,-177.1368801,0.111044172
2.023423479,2.377704895,-26.6559581,-118.1533809,0.111015874
2.073147001,4.645623747,-27.42728877,-68.89118713,0.11098688
2.033965955,6.220165271,-28.13458612,-51.31759212,0.110958434
1.980884753,6.004739551,-28.51629192,-62.31511189,0.110930731
1.986892509,4.337826835,-28.25183709,-145.3483384,0.110902943
1.601833106,-0.166376759,-27.00713848,111.5738961,0.110880541
1.701317472,-0.237288573,-25.32617469,-187.1742739,0.110856747
2.096975592,1.656109365,-24.35247312,-141.6007836,0.11082742
1.981772664,1.216124504,-23.67632898,-159.646187,0.110799704
1.653700785,-0.167817901,-22.11659999,399.2339427,0.110776577
2.368866006,0.340536654,-20.10255117,-581.0251274,0.110903729
3.092267671,-0.365373088,-18.88146332,640.9639163,0.111092535
3.082279077,-1.829150097,-18.02650831,301.279869,0.111192053
2.759101349,-4.066519409,-17.552916,174.8578537,0.111228791
2.450075474,-4.880170186,-17.6133302,124.9235466,0.111194448
2.151138451,-4.685515962,-18.06397279,135.4898947,0.111296401
2.56312743,-4.692648256,-18.21130039,292.6308316,0.111468648
2.841483246,-2.331139966,-17.99923361,518.6934346,0.111503166
2.719488495,-0.433118053,-17.81908022,-4756.569198,0.111702216
3.315726419,0.477796148,-18.14576652,-955.5585295,0.112016879
3.531154803,-0.086482181,-19.46637414,690.5213468,0.112126369
2.491033901,-2.84889862,-20.86438355,126.3375727,0.112131364
1.983424432,-2.039069379,-21.45523302,462.8234901,0.112103384
2.174838266,-0.370026955,-21.51606959,-435.1750972,0.112310252
2.253384897,0.913648363,-20.91111497,-81.20006069,0.112798028
2.454096735,1.344340871,-19.9316051,-211.4920229,0.113471295
2.397924326,1.337657244,-19.17667231,-64.74893005,0.114371394
1.791201955,1.842824753,-19.2514156,-13.2825407,0.115035373
1.729316981,2.205526006,-20.4943372,-59.17629154,0.115212234
1.952344222,3.873175762,-23.17385032,-31.92836439,0.115202859
1.590033784,3.034341573,-26.04372853,-46.67192799,0.115180055
0.781236552,-0.479006116,-27.17729788,12.13778039,0.115168852
0.180985315,-1.273386163,-27.23494945,0.34708544,0.115166256
0.181404175,-0.809334584,-26.84736713,22.46790807,0.115163654
1.38871988,2.526239832,-26.01508889,-36.61350744,0.115143738
2.275798778,5.488587105,-24.82905102,-44.47277424,0.1151111
2.599295038,4.877966943,-22.92247864,-75.43502669,0.115217878
3.237230395,3.997948813,-20.98368578,-115.4019642,0.115628323
4.035154801,4.641134522,-19.06607953,-97.15786536,0.116283838
3.143977137,3.431475991,-18.0475615,-26.0909826,0.116765649
1.933114986,1.989747406,-18.13471156,-31.0550242,0.116904534
0.814186083,-1.224918199,-18.93582699,5.210968641,0.116938191
0.360229693,-3.155383985,-19.88509658,12.69516037,0.116933005
0.688403387,-2.91290515,-20.66806853,28.25287843,0.116923095
1.207065967,-1.416739936,-20.97164265,375.8406455,0.116905717
1.109319405,-1.555920333,-20.04691453,28.78053685,0.116889747
1.310907453,-0.874556709,-19.20586444,44.06729466,0.116870875
1.260084956,-2.542641168,-19.93518859,61.88805034,0.116852734
1.746587601,-2.092621323,-19.80943232,159.8715735,0.116827589
1.651375691,-4.761620705,-19.39061131,37.73833452,0.116803815
1.215310781,-7.866019931,-19.49473693,36.87950077,0.116786319
1.024128675,-9.199721638,-20.08042702,49.80842863,0.116771575
1.372474226,-8.533480947,-20.05926859,63.4690611,0.116751816
1.158943361,-9.034987496,-20.05664042,30.68873344,0.116735132
