date,QE,QH,RTS0,Lstar,RA
2000-04-02,9.55286430072608,63.8222369025129,-18.064982947871187,7.36131999322490,98.6910614642525
2000-04-03,9.59763843422303,68.7434050192401,-18.888505092121335,11.5875160500523,86.2994452284950
2000-04-04,11.4840993484414,57.5167225893838,-15.563723105064128,16.8365427748608,83.0698423141554
2000-04-05,11.1546660930550,53.2300973604006,-13.821915781351606,2.94930554181409,154.294613040158
2000-04-06,11.5740509530386,69.4285652342887,-16.994975116420164,15.8277445439580,59.1596824315175
2000-04-07,10.4337346802788,65.3022217743919,-17.117581767881973,8.23889844000363,102.744714085526
2000-04-08,9.87384649412700,62.6160768014445,-15.89146946604717,1.34893281813324,184.364234324103
2000-04-09,7.40737267912083,96.7982436939928,-24.088616196985555,-236.174158867548,6.72813430093278
2000-04-10,13.6130683474861,79.8457002338337,-15.319743174707298,7.18570497107764,(95.97072361171622+0j)
2000-04-11,16.4108522644417,76.3269996196755,-12.33586439365672,7.16383075999622,97.1753263170373
2000-04-12,14.3822753000869,51.7707092588453,-10.994707558792811,11.0314601037639,95.5686322608670
2000-04-13,24.2465563719108,69.0187815295740,-6.520427960861468,16.8596895704236,77.7885271875129
2000-04-14,21.6156881756263,66.6880122767520,-5.426493304705161,1.80746298885385,168.636732613040
2000-04-15,11.8810230300735,92.5382294562842,-17.164898153502037,69.6705220064592,13.6821251041187
2000-04-16,19.3502492118221,78.1560245205196,-8.890826608577981,3.93134067083601,125.427933899912
2000-04-17,20.8293521116091,88.8782228020650,-9.396886636926013,5.43504588975020,90.1762850491243
2000-04-18,20.0077782750095,92.2212352374045,-10.573741323905494,11.6089861156795,74.9416185897974
2000-04-19,25.1084921994856,70.3052172647599,-3.6226463565803897,1.53871430082906,172.027018519192
2000-04-20,12.8127437733234,120.615223729517,-11.970876595655852,29990.0872356858,0.263044302425901
2000-04-21,20.4982403796103,54.9499175058641,-4.359877824238708,2.12786587218288,172.402665843730
2000-04-22,22.0301423643013,102.839652641456,-8.395576049834801,61.8731613707404,22.1244944541473
2000-04-23,28.2966622200479,90.0093156767880,-5.0792053229811245,37.8270890966510,55.9858992195059
2000-04-24,36.7512462321545,72.2899783377079,-1.0810005419349409,67.9436413260697,49.2194926357980
2000-04-25,37.6330901172366,79.0030399905627,-1.099405851039137,44.9441316397579,54.9187924732056
2000-04-26,23.1876100190164,105.549476975144,-9.822878358102173,99.1749161761317,38.3960434343536
2000-04-27,18.8554199172220,108.716119137947,-12.985727480950004,44.9643573537655,49.7153386241147
2000-04-28,21.3642182174172,115.396953593863,-11.719152552146227,13.0743556266058,73.4524571627926
2000-04-29,24.6813659269314,103.883531601300,-8.33185090791693,3.71248103490230,113.543103088951
2000-04-30,22.2877245624830,98.2945025386116,-9.561319969542296,3.65472222792550,96.9496723827496
2000-05-01,20.8794745936007,107.381863759130,-11.769142679143442,15.7891533502747,57.5117298610638
2000-05-02,25.8124846068917,104.746955241667,-8.36377563163768,12.1599511736265,76.5791697277760
2000-05-03,23.9041689964756,89.1947682759824,-7.978869795946423,6.62946224877378,97.9096159255871
2000-05-04,25.9213289244636,94.7502682352128,-6.719625838425145,2.36801559681548,129.499624637465
2000-05-05,27.6482149120574,123.883820125509,-8.991875407196176,33.1290321039172,30.4159128411523
2000-05-06,28.9400537756551,83.8990924051805,-4.311423973652666,11.2895098330896,85.0090327034371
2000-05-07,39.7641420988523,76.3509272918645,1.6990732756860325,7.36589444305363,98.5720553843234
2000-05-08,36.3739080763903,85.5925994826889,-0.1970673536537788,4.98947951587173,105.272108488538
2000-05-09,37.0147472277006,100.659420536155,-1.2217288552438959,29.7133076769622,52.0577208517146
