date,satFinal,satRedcapp,snd,tempD,rh,sw,lwin,ws,Pa,sdn,emi,z,albedo,tempS,sndMERRA2
1954/6/17,20.5,21.53050869,0,9.215776625,45.34684889,306.5267972,343.3323797,1.973308936,96935.91113,0,0.92,,0.17,,
1954/6/18,22.5,22.59490085,0,10.82052137,47.31816816,268.3338332,354.5681318,1.450915995,97069.45345,0,0.92,,0.17,,
1954/6/19,20.1,22.55162548,0,9.834723766,44.41983549,248.4975904,358.9330139,2.510804325,97001.69173,0,0.92,,0.17,,
1954/6/20,22.4,22.79259334,0,11.22105324,48.01451008,284.6816437,348.7281723,2.830291763,97127.08789,0,0.92,,0.17,,
1954/6/21,23.6,26.1319818,0,11.4822782,40.00086109,329.6813092,348.860007,1.238154151,96766.92285,0,0.92,,0.17,,
1954/6/22,22.9,23.04675642,0,12.81502228,52.51745717,184.0750509,370.1161868,2.353430862,96748.37533,0,0.92,,0.17,,
1954/6/23,23.2,25.65624698,0,13.72065007,47.65063524,250.1480399,366.6133753,1.607706632,96582.79232,0,0.92,,0.17,,
1954/6/24,21.4,24.95273538,0,13.76080769,49.81685543,256.9765719,368.7066892,2.356881847,96872.81673,0,0.92,,0.17,,
1954/6/25,21.4,23.23476732,0,14.31513918,57.25018756,278.9605962,382.3893636,2.275309948,96916.95605,0,0.92,,0.17,,
1954/6/26,16.8,17.43478318,0,12.30240711,71.83952204,134.4323413,386.8555717,3.566847394,97561.67643,0,0.92,,0.17,,
1954/6/27,18.8,18.11530862,0,11.40485251,64.86730337,234.9129503,349.2256432,2.173014996,97603.84831,0,0.92,,0.17,,
1954/6/28,20.4,21.23799417,0,13.07076473,59.62460693,333.5676471,333.3733686,0.936977963,97344.15723,0,0.92,,0.17,,
1954/6/29,22.3,21.91398311,0,13.13426285,57.44666417,304.2764097,351.5837275,1.657656116,97032.83952,0,0.92,,0.17,,
1954/6/30,20,21.84820736,0,13.54846653,59.25692129,288.7298917,362.4070524,1.397607824,96903.93392,0,0.92,,0.17,,
1954/7/1,20.4,23.8131034,0,13.9689677,54.06204979,288.8274815,357.7380384,1.230788297,96843.46842,0,0.92,,0.17,,
1954/7/2,23.9,25.5335334,0,13.77970143,48.18355831,295.6070236,362.9573275,1.661968124,96553.03841,0,0.92,,0.17,,
1954/7/3,22.9,24.98647499,0,14.49934169,52.15418943,276.6675145,374.8523877,1.969567016,96488.18001,0,0.92,,0.17,,
1954/7/4,24.6,26.36167842,0,14.49521756,48.05581228,312.2648639,368.4797236,2.144143686,96608.52051,0,0.92,,0.17,,
1954/7/5,24.8,26.60473931,0,15.24105614,49.70424374,289.6747817,384.565019,1.332589867,96515.42643,0,0.92,,0.17,,
1954/7/6,26.3,27.01243479,0,16.90543466,53.96592188,207.6057063,398.1027285,1.910171852,96504.64616,0,0.92,,0.17,,
1954/7/7,27.1,28.06655466,0,15.20459422,45.51788878,266.4573623,382.7370911,2.738901958,96472.01595,0,0.92,,0.17,,
1954/7/8,26.4,27.9822309,0,12.2586556,37.76925135,302.8228013,374.5075175,2.543545321,96207.64453,0,0.92,,0.17,,
1954/7/9,23.4,26.83660179,0,10.62647892,36.25336409,262.4305637,371.9857203,2.445841519,96052.21322,0,0.92,,0.17,,
1954/7/10,17.1,18.62504945,0,11.02722188,61.27287865,136.1991987,377.4360275,2.099238792,96490.7985,0,0.92,,0.17,,
1954/7/11,17.1,19.94321382,0,9.508968069,50.99944433,264.352152,358.5309397,2.374822249,96791.21191,0,0.92,,0.17,,
1954/7/12,19.4,21.7207169,0,9.581145209,45.93786176,314.6633104,320.8272794,2.736367467,97272.07389,0,0.92,,0.17,,
1954/7/13,21.5,23.41403138,0,10.11399676,42.95636551,330.5681207,325.4354795,1.097940724,96936.34375,0,0.92,,0.17,,
1954/7/14,23.8,25.78737192,0,11.88009009,41.91243339,282.6150714,360.2743073,1.237021526,96606.54492,0,0.92,,0.17,,
1954/7/15,26.7,29.33247981,0,12.70227461,35.95574594,278.4766296,372.7433904,1.504520684,96354.39941,0,0.92,,0.17,,
1954/7/16,26.1,28.79095341,0,13.4478345,38.95203058,244.8440741,391.4201279,2.415486068,96227.75944,0,0.92,,0.17,,
1954/7/17,25.7,25.82251737,0,13.54425343,46.64479232,201.1066727,389.3421249,2.763549959,96564.56445,0,0.92,,0.17,,
